Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Main_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 113.0.0.0,,,2023-05-27 20:28:52,2023-05-27 20:28:53,0.527s,PASSED
,,,,,,,
Test Cases/TS_03_Checkout/TC_06_Checkout using standardUser_Positive,Chrome 113.0.0.0,,,2023-05-27 20:28:53,2023-05-27 20:29:04,10.959s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 20:28:53,2023-05-27 20:28:55,1.865s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 20:28:55,2023-05-27 20:28:56,0.593s,PASSED
"setText(findTestObject(""Login_Swag Labs/input_Swag Labs_user-name""), username)",Chrome 113.0.0.0,,,2023-05-27 20:28:56,2023-05-27 20:28:56,0.682s,PASSED
"setEncryptedText(findTestObject(""Login_Swag Labs/input_Swag Labs_password""), password)",Chrome 113.0.0.0,,,2023-05-27 20:28:56,2023-05-27 20:28:57,0.361s,PASSED
"click(findTestObject(""Login_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 20:28:57,2023-05-27 20:28:57,0.367s,PASSED
"click(findTestObject(""Main_Swag Labs/button_Add to cart""))",Chrome 113.0.0.0,,,2023-05-27 20:28:57,2023-05-27 20:28:57,0.458s,PASSED
"click(findTestObject(""Main_Swag Labs/button_Add to cart_1""))",Chrome 113.0.0.0,,,2023-05-27 20:28:57,2023-05-27 20:28:58,0.548s,PASSED
"click(findTestObject(""Main_Swag Labs/button_Add to cart_1_2""))",Chrome 113.0.0.0,,,2023-05-27 20:28:58,2023-05-27 20:28:58,0.546s,PASSED
"click(findTestObject(""Main_Swag Labs/icon_shoppingCart""))",Chrome 113.0.0.0,,,2023-05-27 20:28:58,2023-05-27 20:28:59,0.556s,PASSED
"click(findTestObject(""Checkout_Swag Labs/button_Checkout""))",Chrome 113.0.0.0,,,2023-05-27 20:28:59,2023-05-27 20:29:00,0.544s,PASSED
"setText(findTestObject(""Object Repository/Checkout_Swag Labs/input_Checkout Your Information_firstName""), firstName)",Chrome 113.0.0.0,,,2023-05-27 20:29:00,2023-05-27 20:29:00,0.852s,PASSED
"setText(findTestObject(""Object Repository/Checkout_Swag Labs/input_Checkout Your Information_lastName""), lastName)",Chrome 113.0.0.0,,,2023-05-27 20:29:00,2023-05-27 20:29:01,0.859s,PASSED
"setText(findTestObject(""Object Repository/Checkout_Swag Labs/input_Checkout Your Information_postalCode""), postalCode)",Chrome 113.0.0.0,,,2023-05-27 20:29:01,2023-05-27 20:29:02,0.852s,PASSED
"click(findTestObject(""Object Repository/Checkout_Swag Labs/input_Cancel_continue""))",Chrome 113.0.0.0,,,2023-05-27 20:29:02,2023-05-27 20:29:03,0.570s,PASSED
"click(findTestObject(""Object Repository/Checkout_Swag Labs/button_Finish""))",Chrome 113.0.0.0,,,2023-05-27 20:29:03,2023-05-27 20:29:03,0.569s,PASSED
"verifyElementText(findTestObject(""Object Repository/Checkout_Swag Labs/h2_Thank you for your order""), ""Thank you for your order!"")",Chrome 113.0.0.0,,,2023-05-27 20:29:03,2023-05-27 20:29:04,0.532s,PASSED
